,fold,type,true,predict
499,2,train,1.0,1.0
500,2,train,1.0,1.0
501,2,train,3.0,3.0
502,2,train,3.0,3.0
503,2,train,3.0,3.0
504,2,train,1.0,1.0
505,2,train,3.0,3.0
506,2,train,0.0,0.0
507,2,train,1.0,1.0
508,2,train,2.0,2.0
509,2,train,2.0,2.0
510,2,train,2.0,2.0
511,2,train,2.0,2.0
512,2,train,1.0,1.0
513,2,train,0.0,0.0
514,2,train,3.0,3.0
515,2,train,1.0,1.0
516,2,train,3.0,3.0
517,2,train,3.0,3.0
518,2,train,1.0,1.0
519,2,train,2.0,2.0
520,2,train,2.0,2.0
521,2,train,0.0,0.0
522,2,train,0.0,0.0
523,2,train,0.0,0.0
524,2,train,0.0,0.0
525,2,train,0.0,0.0
526,2,train,3.0,3.0
527,2,train,0.0,0.0
528,2,train,3.0,3.0
529,2,train,3.0,3.0
530,2,train,3.0,3.0
531,2,train,3.0,3.0
532,2,train,3.0,3.0
533,2,train,0.0,0.0
534,2,train,3.0,3.0
535,2,train,0.0,0.0
536,2,train,1.0,1.0
537,2,train,3.0,3.0
538,2,train,3.0,3.0
539,2,train,1.0,1.0
540,2,train,2.0,2.0
541,2,test,1.0,3.0
542,2,test,2.0,2.0
543,2,test,1.0,1.0
544,2,test,0.0,0.0
545,2,test,3.0,3.0
546,2,test,0.0,0.0
547,2,test,0.0,0.0
548,2,test,3.0,3.0
549,2,test,0.0,0.0
550,2,test,3.0,3.0
551,2,test,3.0,3.0
552,2,test,3.0,3.0
553,2,test,3.0,3.0
554,2,test,0.0,0.0
555,2,test,3.0,3.0
556,2,test,3.0,3.0
557,2,test,0.0,3.0
558,2,test,3.0,3.0
559,2,test,0.0,3.0
560,2,test,2.0,2.0
561,2,test,2.0,3.0
562,2,test,0.0,0.0
563,2,test,3.0,3.0
564,2,test,0.0,0.0
565,2,test,3.0,3.0
566,2,test,1.0,1.0
567,2,test,3.0,3.0
568,2,test,1.0,1.0
569,2,test,3.0,2.0
570,2,test,3.0,3.0
571,2,test,1.0,1.0
572,2,test,0.0,0.0
573,2,test,2.0,2.0
574,2,test,3.0,3.0
575,2,test,1.0,0.0
576,2,test,1.0,1.0
577,2,test,1.0,0.0
578,2,test,1.0,0.0
579,3,train,3.0,3.0
580,3,train,0.0,0.0
581,3,train,1.0,1.0
582,3,train,3.0,3.0
583,3,train,2.0,2.0
584,3,train,1.0,1.0
585,3,train,3.0,3.0
586,3,train,0.0,0.0
587,3,train,1.0,1.0
588,3,train,1.0,1.0
589,3,train,3.0,3.0
590,3,train,3.0,3.0
591,3,train,2.0,2.0
592,3,train,3.0,3.0
593,3,train,0.0,0.0
594,3,train,1.0,1.0
595,3,train,1.0,1.0
596,3,train,3.0,3.0
597,3,train,2.0,2.0
598,3,train,1.0,1.0
599,3,train,1.0,1.0
600,3,train,2.0,2.0
601,3,train,1.0,1.0
602,3,train,3.0,3.0
603,3,train,3.0,3.0
604,3,train,1.0,1.0
605,3,train,0.0,0.0
606,3,train,0.0,0.0
607,3,train,0.0,0.0
608,3,train,2.0,2.0
609,3,train,0.0,0.0
610,3,train,3.0,3.0
611,3,train,3.0,3.0
612,3,train,3.0,3.0
613,3,train,0.0,0.0
614,3,train,3.0,3.0
615,3,train,0.0,0.0
616,3,train,3.0,3.0
617,3,train,0.0,0.0
618,3,train,3.0,3.0
619,3,train,3.0,3.0
620,3,train,1.0,1.0
621,3,train,3.0,3.0
622,3,train,0.0,0.0
623,3,train,3.0,3.0
624,3,train,3.0,3.0
625,3,train,2.0,2.0
626,3,train,1.0,1.0
627,3,train,3.0,3.0
628,3,train,1.0,1.0
629,3,train,0.0,0.0
630,3,train,3.0,3.0
631,3,train,2.0,2.0
632,3,train,3.0,3.0
633,3,train,3.0,3.0
634,3,train,3.0,3.0
635,3,train,3.0,3.0
636,3,train,0.0,0.0
637,3,train,3.0,3.0
638,3,train,0.0,0.0
639,3,train,0.0,0.0
640,3,train,1.0,1.0
641,3,train,2.0,2.0
642,3,train,3.0,3.0
643,3,train,3.0,3.0
644,3,train,3.0,3.0
645,3,train,1.0,1.0
646,3,train,3.0,3.0
647,3,train,0.0,0.0
648,3,train,1.0,1.0
649,3,train,0.0,0.0
650,3,train,0.0,0.0
651,3,train,0.0,0.0
652,3,train,2.0,2.0
653,3,train,1.0,1.0
654,3,train,0.0,0.0
655,3,train,1.0,1.0
656,3,train,3.0,3.0
657,3,train,1.0,1.0
658,3,train,1.0,1.0
659,3,train,1.0,1.0
660,3,train,0.0,0.0
661,3,train,1.0,1.0
662,3,train,0.0,0.0
663,3,train,3.0,3.0
664,3,train,3.0,3.0
665,3,train,3.0,3.0
666,3,train,3.0,3.0
667,3,train,3.0,3.0
668,3,train,3.0,3.0
669,3,train,2.0,2.0
670,3,train,1.0,1.0
671,3,train,1.0,1.0
672,3,train,0.0,0.0
673,3,train,2.0,2.0
